"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","STINT","TOT","PC_PA","M","2014-02",0.13,
"USA","STINT","TOT","PC_PA","M","2014-03",0.12,
"USA","STINT","TOT","PC_PA","M","2014-04",0.12,
"USA","STINT","TOT","PC_PA","M","2014-05",0.11,
"USA","STINT","TOT","PC_PA","M","2014-06",0.11,
"USA","STINT","TOT","PC_PA","M","2014-07",0.13,
"USA","STINT","TOT","PC_PA","M","2014-08",0.13,
"USA","STINT","TOT","PC_PA","M","2014-09",0.12,
"USA","STINT","TOT","PC_PA","M","2014-10",0.12,
"USA","STINT","TOT","PC_PA","M","2014-11",0.13,
"USA","STINT","TOT","PC_PA","M","2014-12",0.15,
"USA","STINT","TOT","PC_PA","M","2015-01",0.16,
"USA","STINT","TOT","PC_PA","M","2015-02",0.15,
"USA","STINT","TOT","PC_PA","M","2015-03",0.14,
"USA","STINT","TOT","PC_PA","M","2015-04",0.13,
"USA","STINT","TOT","PC_PA","M","2015-05",0.15,
"USA","STINT","TOT","PC_PA","M","2015-06",0.18,
"USA","STINT","TOT","PC_PA","M","2015-07",0.19,
"USA","STINT","TOT","PC_PA","M","2015-08",0.26,
"USA","STINT","TOT","PC_PA","M","2015-09",0.27,
"USA","STINT","TOT","PC_PA","M","2015-10",0.25,
"USA","STINT","TOT","PC_PA","M","2015-11",0.3,
"USA","STINT","TOT","PC_PA","M","2015-12",0.54,
"USA","STINT","TOT","PC_PA","M","2016-01",0.57,
"USA","STINT","TOT","PC_PA","M","2016-02",0.54,
"USA","STINT","TOT","PC_PA","M","2016-03",0.55,
"USA","STINT","TOT","PC_PA","M","2016-04",0.55,
"USA","STINT","TOT","PC_PA","M","2016-05",0.57,
"USA","STINT","TOT","PC_PA","M","2016-06",0.55,
"USA","STINT","TOT","PC_PA","M","2016-07",0.62,
"USA","STINT","TOT","PC_PA","M","2016-08",0.73,
"USA","STINT","TOT","PC_PA","M","2016-09",0.75,
"USA","STINT","TOT","PC_PA","M","2016-10",0.72,
"USA","STINT","TOT","PC_PA","M","2016-11",0.71,
"USA","STINT","TOT","PC_PA","M","2016-12",0.87,
"USA","STINT","TOT","PC_PA","M","2017-01",0.9,
"USA","STINT","TOT","PC_PA","M","2017-02",0.87,
"USA","STINT","TOT","PC_PA","M","2017-03",0.98,
"USA","STINT","TOT","PC_PA","M","2017-04",1.03,
"USA","STINT","TOT","PC_PA","M","2017-05",1.05,
"USA","STINT","TOT","PC_PA","M","2017-06",1.16,
"USA","STINT","TOT","PC_PA","M","2017-07",1.22,
"USA","STINT","TOT","PC_PA","M","2017-08",1.25,
"USA","STINT","TOT","PC_PA","M","2017-09",1.25,
"USA","STINT","TOT","PC_PA","M","2017-10",1.26,
"USA","STINT","TOT","PC_PA","M","2017-11",1.32,
"USA","STINT","TOT","PC_PA","M","2017-12",1.54,
"USA","STINT","TOT","PC_PA","M","2018-01",1.63,
"USA","STINT","TOT","PC_PA","M","2018-02",1.78,
"USA","STINT","TOT","PC_PA","M","2018-03",2.08,
"USA","STINT","TOT","PC_PA","M","2018-04",2.2,
"USA","STINT","TOT","PC_PA","M","2018-05",2.16,
"USA","STINT","TOT","PC_PA","M","2018-06",2.19,
"USA","STINT","TOT","PC_PA","M","2018-07",2.17,
"USA","STINT","TOT","PC_PA","M","2018-08",2.19,
"USA","STINT","TOT","PC_PA","M","2018-09",2.24,
"USA","STINT","TOT","PC_PA","M","2018-10",2.37,
"USA","STINT","TOT","PC_PA","M","2018-11",2.56,
"USA","STINT","TOT","PC_PA","M","2018-12",2.69,
"USA","STINT","TOT","PC_PA","M","2019-01",2.59,
"USA","STINT","TOT","PC_PA","M","2019-02",2.49,
"USA","STINT","TOT","PC_PA","M","2019-03",2.48,
"USA","STINT","TOT","PC_PA","M","2019-04",2.47,
"USA","STINT","TOT","PC_PA","M","2019-05",2.44,
"USA","STINT","TOT","PC_PA","M","2019-06",2.3,
"USA","STINT","TOT","PC_PA","M","2019-07",2.22,
"USA","STINT","TOT","PC_PA","M","2019-08",2.06,
"USA","STINT","TOT","PC_PA","M","2019-09",2.03,
"USA","STINT","TOT","PC_PA","M","2019-10",1.88,
"USA","STINT","TOT","PC_PA","M","2019-11",1.77,
"USA","STINT","TOT","PC_PA","M","2019-12",1.76,
"USA","STINT","TOT","PC_PA","M","2020-01",1.65,
"USA","STINT","TOT","PC_PA","M","2020-02",1.59,
"USA","STINT","TOT","PC_PA","M","2020-03",1.35,
"USA","STINT","TOT","PC_PA","M","2020-05",0.17,
"USA","STINT","TOT","PC_PA","M","2020-06",0.2,
"USA","STINT","TOT","PC_PA","M","2020-07",0.18,
"USA","STINT","TOT","PC_PA","M","2020-08",0.15,
"USA","STINT","TOT","PC_PA","M","2020-09",0.13,
"USA","STINT","TOT","PC_PA","M","2020-10",0.12,
"USA","STINT","TOT","PC_PA","M","2020-11",0.16,
"USA","STINT","TOT","PC_PA","M","2020-12",0.17,
"USA","STINT","TOT","PC_PA","M","2021-01",0.14,
"JPN","STINT","TOT","PC_PA","M","2006-07",0.44,
"JPN","STINT","TOT","PC_PA","M","2006-08",0.432,
"JPN","STINT","TOT","PC_PA","M","2006-09",0.436,
"JPN","STINT","TOT","PC_PA","M","2006-10",0.447,
"JPN","STINT","TOT","PC_PA","M","2006-11",0.502,
"JPN","STINT","TOT","PC_PA","M","2006-12",0.54,
"JPN","STINT","TOT","PC_PA","M","2007-01",0.54,
"JPN","STINT","TOT","PC_PA","M","2007-02",0.66,
"JPN","STINT","TOT","PC_PA","M","2007-03",0.66,
"JPN","STINT","TOT","PC_PA","M","2007-04",0.65,
"JPN","STINT","TOT","PC_PA","M","2007-05",0.67,
"JPN","STINT","TOT","PC_PA","M","2007-06",0.73,
"JPN","STINT","TOT","PC_PA","M","2007-07",0.77,
"JPN","STINT","TOT","PC_PA","M","2007-08",0.84,
"JPN","STINT","TOT","PC_PA","M","2007-09",0.85,
"JPN","STINT","TOT","PC_PA","M","2007-10",0.85,
"JPN","STINT","TOT","PC_PA","M","2007-11",0.87,
"JPN","STINT","TOT","PC_PA","M","2007-12",0.86,
"JPN","STINT","TOT","PC_PA","M","2008-01",0.85,
"JPN","STINT","TOT","PC_PA","M","2008-02",0.85,
"JPN","STINT","TOT","PC_PA","M","2008-03",0.84,
"JPN","STINT","TOT","PC_PA","M","2008-04",0.84,
"JPN","STINT","TOT","PC_PA","M","2008-05",0.84,
"JPN","STINT","TOT","PC_PA","M","2008-06",0.86,
"JPN","STINT","TOT","PC_PA","M","2008-07",0.85,
"JPN","STINT","TOT","PC_PA","M","2008-08",0.85,
"JPN","STINT","TOT","PC_PA","M","2008-09",0.87,
"JPN","STINT","TOT","PC_PA","M","2008-10",0.89,
"JPN","STINT","TOT","PC_PA","M","2008-11",0.88,
"JPN","STINT","TOT","PC_PA","M","2008-12",0.74,
"JPN","STINT","TOT","PC_PA","M","2009-01",0.72,
"JPN","STINT","TOT","PC_PA","M","2009-02",0.71,
"JPN","STINT","TOT","PC_PA","M","2009-03",0.65,
"JPN","STINT","TOT","PC_PA","M","2009-04",0.6,
"JPN","STINT","TOT","PC_PA","M","2009-05",0.57,
"JPN","STINT","TOT","PC_PA","M","2009-06",0.56,
"JPN","STINT","TOT","PC_PA","M","2009-07",0.55,
"JPN","STINT","TOT","PC_PA","M","2009-08",0.54,
"JPN","STINT","TOT","PC_PA","M","2009-09",0.54,
"JPN","STINT","TOT","PC_PA","M","2009-10",0.53,
"JPN","STINT","TOT","PC_PA","M","2009-11",0.51,
"JPN","STINT","TOT","PC_PA","M","2009-12",0.46,
"JPN","STINT","TOT","PC_PA","M","2010-01",0.45,
"JPN","STINT","TOT","PC_PA","M","2010-02",0.44,
"JPN","STINT","TOT","PC_PA","M","2010-03",0.43,
"JPN","STINT","TOT","PC_PA","M","2010-04",0.4,
"JPN","STINT","TOT","PC_PA","M","2010-05",0.39,
"JPN","STINT","TOT","PC_PA","M","2010-06",0.38,
"JPN","STINT","TOT","PC_PA","M","2010-07",0.37,
"JPN","STINT","TOT","PC_PA","M","2010-08",0.36,
"JPN","STINT","TOT","PC_PA","M","2010-09",0.36,
"JPN","STINT","TOT","PC_PA","M","2010-10",0.34,
"JPN","STINT","TOT","PC_PA","M","2010-11",0.34,
"JPN","STINT","TOT","PC_PA","M","2010-12",0.34,
"JPN","STINT","TOT","PC_PA","M","2011-01",0.34,
"JPN","STINT","TOT","PC_PA","M","2011-02",0.34,
"JPN","STINT","TOT","PC_PA","M","2011-03",0.33615,
"JPN","STINT","TOT","PC_PA","M","2011-04",0.33286,
"JPN","STINT","TOT","PC_PA","M","2011-05",0.33214,
"JPN","STINT","TOT","PC_PA","M","2011-06",0.33214,
"JPN","STINT","TOT","PC_PA","M","2011-07",0.33214,
"JPN","STINT","TOT","PC_PA","M","2011-08",0.32857,
"JPN","STINT","TOT","PC_PA","M","2011-09",0.32929,
"JPN","STINT","TOT","PC_PA","M","2011-10",0.32929,
"JPN","STINT","TOT","PC_PA","M","2011-11",0.32929,
"JPN","STINT","TOT","PC_PA","M","2011-12",0.32929,
"JPN","STINT","TOT","PC_PA","M","2012-01",0.33077,
"JPN","STINT","TOT","PC_PA","M","2012-02",0.33167,
"JPN","STINT","TOT","PC_PA","M","2012-03",0.33167,
"JPN","STINT","TOT","PC_PA","M","2012-04",0.33167,
"JPN","STINT","TOT","PC_PA","M","2012-05",0.33167,
"JPN","STINT","TOT","PC_PA","M","2012-06",0.33455,
"JPN","STINT","TOT","PC_PA","M","2012-07",0.32727,
"JPN","STINT","TOT","PC_PA","M","2012-08",0.32727,
"JPN","STINT","TOT","PC_PA","M","2012-09",0.32727,
"JPN","STINT","TOT","PC_PA","M","2012-10",0.32636,
"JPN","STINT","TOT","PC_PA","M","2012-11",0.31818,
"JPN","STINT","TOT","PC_PA","M","2012-12",0.30818,
"JPN","STINT","TOT","PC_PA","M","2013-01",0.29182,
"JPN","STINT","TOT","PC_PA","M","2013-02",0.26909,
"JPN","STINT","TOT","PC_PA","M","2013-03",0.25,
"JPN","STINT","TOT","PC_PA","M","2013-04",0.22818,
"JPN","STINT","TOT","PC_PA","M","2013-05",0.22818,
"JPN","STINT","TOT","PC_PA","M","2013-06",0.22818,
"JPN","STINT","TOT","PC_PA","M","2013-07",0.228,
"JPN","STINT","TOT","PC_PA","M","2013-08",0.228,
"JPN","STINT","TOT","PC_PA","M","2013-09",0.228,
"JPN","STINT","TOT","PC_PA","M","2013-10",0.221,
"JPN","STINT","TOT","PC_PA","M","2013-11",0.22,
"JPN","STINT","TOT","PC_PA","M","2013-12",0.22,
"JPN","STINT","TOT","PC_PA","M","2014-01",0.22,
"JPN","STINT","TOT","PC_PA","M","2014-02",0.212,
"JPN","STINT","TOT","PC_PA","M","2014-03",0.212,
"JPN","STINT","TOT","PC_PA","M","2014-04",0.212,
"JPN","STINT","TOT","PC_PA","M","2014-05",0.21,
"JPN","STINT","TOT","PC_PA","M","2014-06",0.21,
"JPN","STINT","TOT","PC_PA","M","2014-07",0.21,
"JPN","STINT","TOT","PC_PA","M","2014-08",0.21,
"JPN","STINT","TOT","PC_PA","M","2014-09",0.21,
"JPN","STINT","TOT","PC_PA","M","2014-10",0.192,
"JPN","STINT","TOT","PC_PA","M","2014-11",0.182,
"JPN","STINT","TOT","PC_PA","M","2014-12",0.179,
"JPN","STINT","TOT","PC_PA","M","2015-01",0.173,
"JPN","STINT","TOT","PC_PA","M","2015-02",0.171,
"JPN","STINT","TOT","PC_PA","M","2015-03",0.17,
"JPN","STINT","TOT","PC_PA","M","2015-04",0.17,
"JPN","STINT","TOT","PC_PA","M","2015-05",0.169,
"JPN","STINT","TOT","PC_PA","M","2015-06",0.169,
"JPN","STINT","TOT","PC_PA","M","2015-07",0.169,
"JPN","STINT","TOT","PC_PA","M","2015-08",0.169,
"JPN","STINT","TOT","PC_PA","M","2015-09",0.169,
"JPN","STINT","TOT","PC_PA","M","2015-10",0.169,
"JPN","STINT","TOT","PC_PA","M","2015-11",0.169,
"JPN","STINT","TOT","PC_PA","M","2015-12",0.169,
"JPN","STINT","TOT","PC_PA","M","2016-01",0.169,
"JPN","STINT","TOT","PC_PA","M","2016-02",0.098,
"JPN","STINT","TOT","PC_PA","M","2016-03",0.098,
"JPN","STINT","TOT","PC_PA","M","2016-04",0.06,
"JPN","STINT","TOT","PC_PA","M","2016-05",0.06,
"JPN","STINT","TOT","PC_PA","M","2016-06",0.059,
"JPN","STINT","TOT","PC_PA","M","2016-07",0.058,
"JPN","STINT","TOT","PC_PA","M","2016-08",0.058,
"JPN","STINT","TOT","PC_PA","M","2016-09",0.056,
"JPN","STINT","TOT","PC_PA","M","2016-10",0.056,
"JPN","STINT","TOT","PC_PA","M","2016-11",0.056,
"JPN","STINT","TOT","PC_PA","M","2016-12",0.056,
"JPN","STINT","TOT","PC_PA","M","2017-01",0.056,
"JPN","STINT","TOT","PC_PA","M","2017-02",0.056,
"JPN","STINT","TOT","PC_PA","M","2017-03",0.056,
"JPN","STINT","TOT","PC_PA","M","2017-04",0.056,
"JPN","STINT","TOT","PC_PA","M","2017-05",0.056,
"JPN","STINT","TOT","PC_PA","M","2017-06",0.056,
"JPN","STINT","TOT","PC_PA","M","2017-07",0.075,
"JPN","STINT","TOT","PC_PA","M","2017-08",0.056,
"JPN","STINT","TOT","PC_PA","M","2017-09",0.056,
"JPN","STINT","TOT","PC_PA","M","2017-10",0.063,
"JPN","STINT","TOT","PC_PA","M","2017-11",0.063,
"JPN","STINT","TOT","PC_PA","M","2017-12",0.063,
"JPN","STINT","TOT","PC_PA","M","2018-01",0.068,
"JPN","STINT","TOT","PC_PA","M","2018-02",0.068,
"JPN","STINT","TOT","PC_PA","M","2018-03",0.097,
"JPN","STINT","TOT","PC_PA","M","2018-04",0.097,
"JPN","STINT","TOT","PC_PA","M","2018-05",0.078,
"JPN","STINT","TOT","PC_PA","M","2018-06",0.078,
"JPN","STINT","TOT","PC_PA","M","2018-07",0.091,
"JPN","STINT","TOT","PC_PA","M","2018-08",0.091,
"JPN","STINT","TOT","PC_PA","M","2018-09",0.05,
"JPN","STINT","TOT","PC_PA","M","2018-10",0.05,
"JPN","STINT","TOT","PC_PA","M","2018-11",0.05,
"JPN","STINT","TOT","PC_PA","M","2018-12",0.05,
"JPN","STINT","TOT","PC_PA","M","2019-01",0.03,
"JPN","STINT","TOT","PC_PA","M","2019-02",0.03,
"JPN","STINT","TOT","PC_PA","M","2019-03",0.05,
"JPN","STINT","TOT","PC_PA","M","2019-04",0.05,
"JPN","STINT","TOT","PC_PA","M","2019-05",0.049,
"JPN","STINT","TOT","PC_PA","M","2019-06",0.049,
"JPN","STINT","TOT","PC_PA","M","2019-07",0.049,
"JPN","STINT","TOT","PC_PA","M","2019-08",0.009,
"JPN","STINT","TOT","PC_PA","M","2019-09",0.009,
"JPN","STINT","TOT","PC_PA","M","2019-10",0.009,
"JPN","STINT","TOT","PC_PA","M","2019-11",0.018,
"JPN","STINT","TOT","PC_PA","M","2019-12",0.021,
"JPN","STINT","TOT","PC_PA","M","2020-01",0.021,
"JPN","STINT","TOT","PC_PA","M","2020-02",0.021,
"JPN","STINT","TOT","PC_PA","M","2020-03",0.006,
"JPN","STINT","TOT","PC_PA","M","2020-04",-0.039,
"JPN","STINT","TOT","PC_PA","M","2020-05",-0.042,
"JPN","STINT","TOT","PC_PA","M","2020-06",-0.042,
"JPN","STINT","TOT","PC_PA","M","2020-07",-0.065,
"JPN","STINT","TOT","PC_PA","M","2020-08",-0.065,
"JPN","STINT","TOT","PC_PA","M","2020-09",-0.055,
"JPN","STINT","TOT","PC_PA","M","2020-10",-0.055,
"JPN","STINT","TOT","PC_PA","M","2020-11",-0.055,
"JPN","STINT","TOT","PC_PA","M","2020-12",-0.055,
"EA19","STINT","TOT","PC_PA","M","2006-07",3.1022,
"EA19","STINT","TOT","PC_PA","M","2006-08",3.2265,
"EA19","STINT","TOT","PC_PA","M","2006-09",3.3354,
"EA19","STINT","TOT","PC_PA","M","2006-10",3.502,
"EA19","STINT","TOT","PC_PA","M","2006-11",3.5972,
"EA19","STINT","TOT","PC_PA","M","2006-12",3.6842,
"EA19","STINT","TOT","PC_PA","M","2007-01",3.7519,
"EA19","STINT","TOT","PC_PA","M","2007-02",3.8182,
"EA19","STINT","TOT","PC_PA","M","2007-03",3.8909,
"EA19","STINT","TOT","PC_PA","M","2007-04",3.9753,
"EA19","STINT","TOT","PC_PA","M","2007-05",4.0714,
"EA19","STINT","TOT","PC_PA","M","2007-06",4.1478,
"EA19","STINT","TOT","PC_PA","M","2007-07",4.2162,
"EA19","STINT","TOT","PC_PA","M","2007-08",4.5436,
"EA19","STINT","TOT","PC_PA","M","2007-09",4.7417,
"EA19","STINT","TOT","PC_PA","M","2007-10",4.6874,
"EA19","STINT","TOT","PC_PA","M","2007-11",4.6385,
"EA19","STINT","TOT","PC_PA","M","2007-12",4.8484,
"EA19","STINT","TOT","PC_PA","M","2008-01",4.4815,
"EA19","STINT","TOT","PC_PA","M","2008-02",4.3621,
"EA19","STINT","TOT","PC_PA","M","2008-03",4.5964,
"EA19","STINT","TOT","PC_PA","M","2008-04",4.7835,
"EA19","STINT","TOT","PC_PA","M","2008-05",4.8574,
"EA19","STINT","TOT","PC_PA","M","2008-06",4.9405,
"EA19","STINT","TOT","PC_PA","M","2008-07",4.961,
"EA19","STINT","TOT","PC_PA","M","2008-08",4.9652,
"EA19","STINT","TOT","PC_PA","M","2008-09",5.0192,
"EA19","STINT","TOT","PC_PA","M","2008-10",5.1131,
"EA19","STINT","TOT","PC_PA","M","2008-11",4.2383,
"EA19","STINT","TOT","PC_PA","M","2008-12",3.2926,
"EA19","STINT","TOT","PC_PA","M","2009-01",2.4565,
"EA19","STINT","TOT","PC_PA","M","2009-02",1.9431,
"EA19","STINT","TOT","PC_PA","M","2009-03",1.6355,
"EA19","STINT","TOT","PC_PA","M","2009-04",1.4223,
"EA19","STINT","TOT","PC_PA","M","2009-05",1.2817,
"EA19","STINT","TOT","PC_PA","M","2009-06",1.2279,
"EA19","STINT","TOT","PC_PA","M","2009-07",0.975,
"EA19","STINT","TOT","PC_PA","M","2009-08",0.8605,
"EA19","STINT","TOT","PC_PA","M","2009-09",0.7721,
"EA19","STINT","TOT","PC_PA","M","2009-10",0.7375,
"EA19","STINT","TOT","PC_PA","M","2009-11",0.7162,
"EA19","STINT","TOT","PC_PA","M","2009-12",0.712,
"EA19","STINT","TOT","PC_PA","M","2010-01",0.6797,
"EA19","STINT","TOT","PC_PA","M","2010-02",0.6617,
"EA19","STINT","TOT","PC_PA","M","2010-03",0.645,
"EA19","STINT","TOT","PC_PA","M","2010-04",0.6447,
"EA19","STINT","TOT","PC_PA","M","2010-05",0.6865,
"EA19","STINT","TOT","PC_PA","M","2010-06",0.7276,
"EA19","STINT","TOT","PC_PA","M","2010-07",0.8488,
"EA19","STINT","TOT","PC_PA","M","2010-08",0.8955,
"EA19","STINT","TOT","PC_PA","M","2010-09",0.8805,
"EA19","STINT","TOT","PC_PA","M","2010-10",0.9977,
"EA19","STINT","TOT","PC_PA","M","2010-11",1.042,
"EA19","STINT","TOT","PC_PA","M","2010-12",1.0217,
"EA19","STINT","TOT","PC_PA","M","2011-01",1.0172,
"EA19","STINT","TOT","PC_PA","M","2011-02",1.0867,
"EA19","STINT","TOT","PC_PA","M","2011-03",1.1755,
"EA19","STINT","TOT","PC_PA","M","2011-04",1.3212,
"EA19","STINT","TOT","PC_PA","M","2011-05",1.4251,
"EA19","STINT","TOT","PC_PA","M","2011-06",1.4886,
"EA19","STINT","TOT","PC_PA","M","2011-07",1.5976,
"EA19","STINT","TOT","PC_PA","M","2011-08",1.5521,
"EA19","STINT","TOT","PC_PA","M","2011-09",1.5365,
"EA19","STINT","TOT","PC_PA","M","2011-10",1.5759,
"EA19","STINT","TOT","PC_PA","M","2011-11",1.4847,
"EA19","STINT","TOT","PC_PA","M","2011-12",1.4261,
"EA19","STINT","TOT","PC_PA","M","2012-01",1.2222,
"EA19","STINT","TOT","PC_PA","M","2012-02",1.0483,
"EA19","STINT","TOT","PC_PA","M","2012-03",0.8585,
"EA19","STINT","TOT","PC_PA","M","2012-04",0.7443,
"EA19","STINT","TOT","PC_PA","M","2012-05",0.6849,
"EA19","STINT","TOT","PC_PA","M","2012-06",0.6589,
"EA19","STINT","TOT","PC_PA","M","2012-07",0.497,
"EA19","STINT","TOT","PC_PA","M","2012-08",0.3324,
"EA19","STINT","TOT","PC_PA","M","2012-09",0.2463,
"EA19","STINT","TOT","PC_PA","M","2012-10",0.2079,
"EA19","STINT","TOT","PC_PA","M","2012-11",0.192,
"EA19","STINT","TOT","PC_PA","M","2012-12",0.1855,
"EA19","STINT","TOT","PC_PA","M","2013-01",0.2049,
"EA19","STINT","TOT","PC_PA","M","2013-02",0.2234,
"EA19","STINT","TOT","PC_PA","M","2013-03",0.2061,
"EA19","STINT","TOT","PC_PA","M","2013-04",0.2089,
"EA19","STINT","TOT","PC_PA","M","2013-05",0.2012,
"EA19","STINT","TOT","PC_PA","M","2013-06",0.2103,
"EA19","STINT","TOT","PC_PA","M","2013-07",0.2214,
"EA19","STINT","TOT","PC_PA","M","2013-08",0.2259,
"EA19","STINT","TOT","PC_PA","M","2013-09",0.2232,
"EA19","STINT","TOT","PC_PA","M","2013-10",0.2258,
"EA19","STINT","TOT","PC_PA","M","2013-11",0.2234,
"EA19","STINT","TOT","PC_PA","M","2013-12",0.2735,
"EA19","STINT","TOT","PC_PA","M","2014-01",0.292,
"EA19","STINT","TOT","PC_PA","M","2014-02",0.2881,
"EA19","STINT","TOT","PC_PA","M","2014-03",0.3053,
"EA19","STINT","TOT","PC_PA","M","2014-04",0.3297,
"EA19","STINT","TOT","PC_PA","M","2014-05",0.3246,
"EA19","STINT","TOT","PC_PA","M","2014-06",0.2414,
"EA19","STINT","TOT","PC_PA","M","2014-07",0.205,
"EA19","STINT","TOT","PC_PA","M","2014-08",0.1916,
"EA19","STINT","TOT","PC_PA","M","2014-09",0.0971,
"EA19","STINT","TOT","PC_PA","M","2014-10",0.0826,
"EA19","STINT","TOT","PC_PA","M","2014-11",0.0809,
